"url","Name","Name_link","Country","Capacity","Status","Type","Owner","Operator","Connection"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fangchenggang 2","http://www.world-nuclear.org/reactor/default.aspx/FANGCHENGGANG-2","China","1000 MWe","OPERABLE","Pressurised Water Reactor","Guangxi Fangchenggang Nuclear Power Company Ltd","Guangxi Fangchenggang Nuclear Power Company Ltd","15 July 2016"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fangchenggang 3","http://www.world-nuclear.org/reactor/default.aspx/FANGCHENGGANG-3","China","1000 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","Guangxi Fangchenggang Nuclear Power Company Ltd","Guangxi Fangchenggang Nuclear Power Company Ltd",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fangchenggang 4","http://www.world-nuclear.org/reactor/default.aspx/FANGCHENGGANG-4","China","1000 MWe","UNDER CONSTRUCTION","Pressurised Water Reactor","Guangxi Fangchenggang Nuclear Power Company Ltd","Guangxi Fangchenggang Nuclear Power Company Ltd",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fangjiashan 1","http://www.world-nuclear.org/reactor/default.aspx/FANGJIASHAN-1","China","1012 MWe","OPERABLE","Pressurised Water Reactor","China National Nuclear Corporation","Qinshan Nuclear Power Company","4 November 2014"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fangjiashan 2","http://www.world-nuclear.org/reactor/default.aspx/FANGJIASHAN-2","China","1012 MWe","OPERABLE","Pressurised Water Reactor","China National Nuclear Corporation","Qinshan Nuclear Power Company","12 January 2015"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Farley 1","http://www.world-nuclear.org/reactor/default.aspx/FARLEY-1","United States Of America","874 MWe","OPERABLE","Pressurised Water Reactor","Alabama Power Company","Southern Nuclear Operating Company, Inc.","18 August 1977"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Farley 2","http://www.world-nuclear.org/reactor/default.aspx/FARLEY-2","United States Of America","883 MWe","OPERABLE","Pressurised Water Reactor","Alabama Power Company","Southern Nuclear Operating Company, Inc.","25 May 1981"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fermi 1","http://www.world-nuclear.org/reactor/default.aspx/FERMI-1","United States Of America","61 MWe","PERMANENT SHUTDOWN","Fast Reactor","Power Reactor Development Company (Prdc), Consortium Of 34 Public Utilities","Detroit Edison Co.","5 August 1966"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fermi 2","http://www.world-nuclear.org/reactor/default.aspx/FERMI-2","United States Of America","1122 MWe","OPERABLE","Boiling Water Reactor","Dte Energy Co.","Detroit Edison Co.","21 September 1986"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fessenheim 1","http://www.world-nuclear.org/reactor/default.aspx/FESSENHEIM-1","France","880 MWe","OPERABLE","Pressurised Water Reactor","EDF","EDF","6 April 1977"
